Rank,Adset,Cluster,GTM,Budget/day,# of Requirements,In how many days
— New-supply clusters (mostly fresh creatives) (24) —,,,,,,
2,top - 1 - sarkari kaam,(all),false,₹62.8L,10,25
3,top - 117 - diy - 2,(all),false,₹1.5L,12,1
4,top - 14 - utilise time,(all),false,₹4.9L,12,3
5,seekhomalayalam,(all),false,₹2.2L,12,2
6,seekhotamil,(all),false,₹1.1L,12,1
9,top - 12 - finance,(all),false,₹1.3L,12,2
11,seekhotelugu,(all),false,₹1.6L,12,3
13,bau - business,(all),false,₹0.6L,10,2
14,bau - business (aa),(all),false,₹0.8L,12,2
16,top - 55 - astro samadhaan,(all),false,₹0.3L,5,1
21,seekhokannada,(all),false,₹1.1L,12,6
25,top - 35 - instagram(aa),(all),false,₹3.4L,9,
26,youtube  catalogue adset,(all),false,₹0.1L,2,0
29,top - 15 - stock market - 2,(all),false,₹2.1L,7,27
32,top - 2 - pti,(all),false,₹0.9L,10,15
35,top - 7 - youtube,(all),false,₹1.3L,9,
39,sharemarket,(all),false,₹0.0L,2,0
40,beauty skills,(all),false,₹0.3L,1,8
50,bau - business new,(all),false,₹0.8L,11,53
68,skin beauty routine,(all),false,₹0.1L,1,12
72,utilisetime  catalogue adset,(all),false,₹0.1L,2,
79,insta  catalogue adset,(all),false,₹0.1L,1,
84,skin beauty routine,saas-vs-bahu,true,₹0.0L,2,6
100,astrosamadhaan,(all),false,₹0.0L,1,
— Carryover clusters (running on last cycle's creatives) (91) —,,,,,,
1,horxcrisis low unin% creatives,(all),false,₹2.6L,12,0
7,top - 11 - sarkari services,(all),false,₹0.8L,12,1
8,business catalogue adset,(all),false,₹0.8L,12,0
10,retargeting installer,(all),false,₹3.0L,12,6
12,horxother,(all),false,₹1.8L,12,4
15,top - 70 - sarkari loan,(all),false,₹0.3L,6,0
17,top - 12 - finance (aa),(all),false,₹0.3L,5,0
18,top - 342 - horxother,(all),false,₹1.6L,12,7
19,weightloss male,partner-rejection,true,₹0.2L,3,0
20,top - 35 - instagram(aa),saheli-friends-taunt,true,₹0.2L,3,0
22,utilise time,(all),false,₹0.2L,3,0
23,weightloss female,saheli-friends-taunt,true,₹0.1L,3,0
24,top - 153 - facebook(aaa),(all),false,₹1.8L,11,13
27,home parlour,maa-beti,true,₹0.1L,2,0
28,beauty skills,maa-beti,true,₹0.1L,2,0
30,home parlour,parent-child,true,₹0.1L,2,0
31,weightloss female,(all),true,₹0.1L,3,0
33,weightloss female,samaj-public-shame,true,₹0.1L,3,0
34,horxother + ut,(all),false,₹0.6L,8,13
36,stock market,(all),false,₹0.0L,2,0
37,weightloss female,pati-vs-patni,true,₹0.2L,3,4
38,instagram,relatives-taunt,true,₹0.0L,2,0
41,weightloss female,siblings,true,₹0.0L,3,0
42,weightloss,saas-vs-bahu,true,₹0.0L,2,0
43,skin beauty routine,maa-beti,true,₹0.0L,2,0
44,business,(all),false,₹0.0L,2,0
45,sm+biz+diy,(all),false,₹0.3L,4,13
46,weightloss,rishta-rejection,true,₹0.0L,2,0
47,weightloss female,nanad-vs-bahu,true,₹0.1L,2,7
48,top - 153 - facebook(aa),(all),false,₹0.0L,2,0
49,weightloss female,maa-beti,true,₹0.0L,3,0
51,top - 15 - stock market,(all),false,₹0.4L,6,
52,top 5 categories pvs,(all),false,₹0.0L,2,0
53,makeup hairstyle,siblings,true,₹0.0L,2,0
54,weightloss female,rishta-rejection,true,₹0.1L,3,4
55,pti,(all),false,₹0.0L,2,0
56,guthealth,partner-rejection,true,₹0.0L,2,0
57,finance,(all),false,₹0.3L,4,
58,guthealth,pati-vs-patni,true,₹0.1L,1,8
59,weightloss female,saas-vs-bahu,true,₹0.1L,2,11
60,top 5 categories ad p1 retention,(all),false,₹0.0L,2,0
61,horxothers,(all),false,₹0.0L,2,0
62,makeup hairstyle,pati-vs-patni,true,₹0.1L,1,11
63,sarkari,(all),false,₹0.0L,2,0
64,weightloss male,saheli-friends-taunt,true,₹0.0L,2,3
65,skin female,expert-doctor-led,true,₹0.0L,2,4
66,hair,parent-child,true,₹0.1L,3,21
67,skin female,relatives-taunt,true,₹0.0L,2,0
69,hair,maa-beti,true,₹0.0L,2,0
70,top - 35 - instagram(aa),maa-beti,true,₹0.2L,2,
71,utilisetime,(all),false,₹0.0L,2,0
73,skin female,partner-rejection,true,₹0.0L,2,0
74,home parlour,pati-vs-patni,true,₹0.0L,2,5
75,hair,teacher-student,true,₹0.0L,1,10
76,skin beauty routine,pati-vs-patni,true,₹0.0L,2,0
77,skin female,maa-beti,true,₹0.0L,1,10
78,hair,rishta-rejection,true,₹0.0L,2,0
80,top - 35 - instagram(aa),padosi-neighbour-taunt,true,₹0.1L,1,
81,skin female,jethani-devrani-vs-bahu,true,₹0.0L,2,0
82,top - 35 - instagram(aa),siblings,true,₹0.1L,1,
83,guthealth,siblings,true,₹0.0L,2,0
85,hair,expert-doctor-led,true,₹0.0L,1,10
86,weightloss male,expert-doctor-led,true,₹0.0L,2,0
87,hair,saas-vs-bahu,true,₹0.0L,2,0
88,instagram,colleague-office,true,₹0.0L,2,7
